run_tag	dataset	scan	mode	n_gt	n_pred	gt_coverage	pred_purity	p@0.25	r@0.25	f1@0.25	miou@0.25	tp@0.25	fp@0.25	fn@0.25	p@0.5	r@0.5	f1@0.5	miou@0.5	tp@0.5	fp@0.5	fn@0.5	p@0.75	r@0.75	f1@0.75	miou@0.75	tp@0.75	fp@0.75	fn@0.75
2026-05-31_183612_1547137	ScanNet	scene0238_00	objects-only	38	66	0.263566	0.311713	0.419355	0.342105	0.376812	0.599431	13	18	25	0.218750	0.184211	0.200000	0.779263	7	25	31	0.121212	0.105263	0.112676	0.890930	4	29	34
2026-05-31_183612_1547137	ScanNet	scene0238_01	objects-only	36	54	0.312424	0.326390	0.678571	0.527778	0.593750	0.470603	19	9	17	0.250000	0.194444	0.218750	0.627457	7	21	29	0.000000	0.000000	0.000000	0.000000	0	29	36
2026-05-31_183612_1547137	ScanNet	scene0239_02	objects-only	15	21	0.460484	0.549570	0.700000	0.466667	0.560000	0.816068	7	3	8	0.600000	0.400000	0.480000	0.896419	6	4	9	0.454545	0.333333	0.384615	0.927002	5	6	10
2026-05-31_183612_1547137	ScanNet	scene0244_00	objects-only	13	31	0.784023	0.542777	0.600000	0.923077	0.727273	0.828861	12	8	1	0.550000	0.846154	0.666667	0.879546	11	9	2	0.476190	0.769231	0.588235	0.909612	10	11	3
2026-05-31_183612_1547137	ScanNet	scene0258_00	objects-only	11	33	0.509088	0.339899	0.529412	0.818182	0.642857	0.588467	9	8	2	0.250000	0.454545	0.322581	0.807126	5	15	6	0.142857	0.272727	0.187500	0.882696	3	18	8
2026-05-31_183612_1547137	ScanNet	scene0259_01	objects-only	11	35	0.565822	0.291823	0.346154	0.818182	0.486486	0.663009	9	17	2	0.192308	0.454545	0.270270	0.882335	5	21	6	0.137931	0.363636	0.200000	0.935583	4	25	7
2026-05-31_183612_1547137	ScanNet	scene0292_01	objects-only	9	26	0.652979	0.495925	0.538462	0.777778	0.636364	0.739197	7	6	2	0.461538	0.666667	0.545455	0.800578	6	7	3	0.307692	0.444444	0.363636	0.930812	4	9	5
2026-05-31_183612_1547137	ScanNet	scene0318_00	objects-only	5	14	0.602347	0.368057	0.444444	0.800000	0.571429	0.746865	4	5	1	0.444444	0.800000	0.571429	0.746865	4	5	1	0.222222	0.400000	0.285714	0.870114	2	7	3
2026-05-31_183612_1547137	ScanNet	scene0333_00	objects-only	16	26	0.526812	0.446573	0.666667	0.750000	0.705882	0.649009	12	6	4	0.555556	0.625000	0.588235	0.707833	10	8	6	0.210526	0.250000	0.228571	0.883436	4	15	12
2026-05-31_183612_1547137	ScanNet	scene0338_02	objects-only	14	14	0.446450	0.611730	0.888889	0.571429	0.695652	0.614703	8	1	6	0.714286	0.357143	0.476190	0.764443	5	2	9	0.300000	0.214286	0.250000	0.909556	3	7	11
2026-05-31_183612_1547137	ScanNet	scene0346_00	objects-only	10	11	0.690053	0.649386	0.800000	0.800000	0.800000	0.830299	8	2	2	0.800000	0.800000	0.800000	0.830299	8	2	2	0.555556	0.500000	0.526316	0.927776	5	4	5
2026-05-31_183612_1547137	ScanNet	scene0346_01	objects-only	11	26	0.517135	0.399817	0.466667	0.636364	0.538462	0.713668	7	8	4	0.375000	0.545455	0.444444	0.755227	6	10	5	0.187500	0.272727	0.222222	0.889116	3	13	8
2026-05-31_183612_1547137	ScanNet	scene0359_01	objects-only	12	24	0.610834	0.550711	0.833333	0.833333	0.833333	0.683185	10	2	2	0.538462	0.583333	0.560000	0.801701	7	6	5	0.307692	0.333333	0.320000	0.941035	4	9	8
2026-05-31_183612_1547137	ScanNet	scene0368_01	objects-only	20	44	0.611525	0.461444	0.576923	0.750000	0.652174	0.749599	15	11	5	0.520000	0.650000	0.577778	0.813754	13	12	7	0.275862	0.400000	0.326531	0.936763	8	21	12
2026-05-31_183612_1547137	ScanNet	scene0373_01	objects-only	8	17	0.862188	0.748365	1.000000	1.000000	1.000000	0.862188	8	0	0	0.888889	1.000000	0.941176	0.862188	8	1	0	0.666667	0.750000	0.705882	0.954883	6	3	2
2026-05-31_183612_1547137	ScanNet	scene0376_02	objects-only	8	13	0.545937	0.578398	0.857143	0.750000	0.800000	0.656856	6	1	2	0.666667	0.500000	0.571429	0.759743	4	2	4	0.285714	0.250000	0.266667	0.856579	2	5	6
2026-05-31_183612_1547137	ScanNet	scene0381_00	objects-only	8	13	0.747209	0.552457	0.700000	0.875000	0.777778	0.787966	7	3	1	0.600000	0.750000	0.666667	0.836555	6	4	2	0.454545	0.625000	0.526316	0.901387	5	6	3
2026-05-31_183612_1547137	ScanNet	scene0381_02	objects-only	8	22	0.773648	0.517772	0.615385	1.000000	0.761905	0.773648	8	5	0	0.461538	0.750000	0.571429	0.914138	6	7	2	0.357143	0.625000	0.454545	0.971007	5	9	3
2026-05-31_183612_1547137	ScanNet	scene0392_02	objects-only	8	17	0.632887	0.506613	0.700000	0.875000	0.777778	0.699192	7	3	1	0.500000	0.625000	0.555556	0.833880	5	5	3	0.272727	0.375000	0.315789	0.953471	3	8	5
2026-05-31_183612_1547137	ScanNet	scene0407_01	objects-only	16	46	0.647847	0.493926	0.722222	0.812500	0.764706	0.749465	13	5	3	0.454545	0.625000	0.526316	0.852380	10	12	6	0.304348	0.437500	0.358974	0.955119	7	16	9
2026-05-31_183612_1547137	ScanNet	scene0423_01	objects-only	5	8	0.995926	0.995926	1.000000	1.000000	1.000000	0.995926	5	0	0	1.000000	1.000000	1.000000	0.995926	5	0	0	1.000000	1.000000	1.000000	0.995926	5	0	0
2026-05-31_183612_1547137	ScanNet	scene0432_00	objects-only	3	20	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	3	0	0	1.000000	1.000000	1.000000	1.000000	3	0	0	1.000000	1.000000	1.000000	1.000000	3	0	0
2026-05-31_183612_1547137	ScanNet	scene0432_01	objects-only	6	16	0.982946	0.982946	1.000000	1.000000	1.000000	0.982946	6	0	0	1.000000	1.000000	1.000000	0.982946	6	0	0	1.000000	1.000000	1.000000	0.982946	6	0	0
2026-05-31_183612_1547137	ScanNet	scene0437_01	objects-only	12	22	0.564046	0.434908	0.625000	0.833333	0.714286	0.646252	10	6	2	0.388889	0.583333	0.466667	0.771666	7	11	5	0.210526	0.333333	0.258065	0.888184	4	15	8
2026-05-31_183612_1547137	ScanNet	scene0443_00	objects-only	26	71	0.585903	0.345714	0.480000	0.923077	0.631579	0.624256	24	26	2	0.306122	0.576923	0.400000	0.784570	15	34	11	0.173077	0.346154	0.230769	0.912420	9	43	17
2026-05-31_183612_1547137	ScanNet	scene0444_00	objects-only	9	21	0.715564	0.423706	0.562500	1.000000	0.720000	0.715564	9	7	0	0.375000	0.666667	0.480000	0.895284	6	10	3	0.294118	0.555556	0.384615	0.936852	5	12	4
2026-05-31_183612_1547137	ScanNet	scene0444_01	objects-only	8	7	0.443193	0.623730	0.800000	0.500000	0.615385	0.697569	4	1	4	0.800000	0.500000	0.615385	0.697569	4	1	4	0.200000	0.125000	0.153846	0.873921	1	4	7
2026-05-31_183612_1547137	ScanNet	scene0461_00	objects-only	5	19	0.855600	0.344658	0.384615	1.000000	0.555556	0.855600	5	8	0	0.384615	1.000000	0.555556	0.855600	5	8	0	0.307692	0.800000	0.444444	0.924574	4	9	1
2026-05-31_183612_1547137	ScanNet	scene0469_02	objects-only	34	41	0.640827	0.672889	0.766667	0.676471	0.718750	0.882056	23	7	11	0.709677	0.647059	0.676923	0.900735	22	9	12	0.545455	0.529412	0.537313	0.959460	18	15	16
2026-05-31_183612_1547137	ScanNet	scene0470_01	objects-only	12	27	0.688035	0.471335	0.500000	0.916667	0.647059	0.749639	11	11	1	0.380952	0.666667	0.484848	0.882492	8	13	4	0.318182	0.583333	0.411765	0.929865	7	15	5
2026-05-31_183612_1547137	ScanNet	scene0471_00	objects-only	10	5	0.223549	0.669046	1.000000	0.300000	0.461538	0.564402	3	0	7	0.500000	0.100000	0.166667	0.906984	1	1	9	0.500000	0.100000	0.166667	0.906984	1	1	9
2026-05-31_183612_1547137	ScanNet	scene0471_02	objects-only	9	9	0.497139	0.698324	1.000000	0.555556	0.714286	0.837819	5	0	4	0.833333	0.555556	0.666667	0.837819	5	1	4	0.600000	0.333333	0.428571	0.938029	3	2	6
2026-05-31_183612_1547137	ScanNet	scene0479_01	objects-only	29	36	0.531597	0.574397	0.708333	0.586207	0.641509	0.808663	17	7	12	0.538462	0.482759	0.509091	0.882051	14	12	15	0.444444	0.413793	0.428571	0.937568	12	15	17
2026-05-31_183612_1547137	ScanNet	scene0479_02	objects-only	31	39	0.478483	0.491753	0.666667	0.580645	0.620690	0.703735	18	9	13	0.464286	0.419355	0.440678	0.809569	13	15	18	0.285714	0.258065	0.271186	0.938199	8	20	23
2026-05-31_183612_1547137	ScanNet	scene0480_01	objects-only	15	29	0.560428	0.402139	0.666667	0.800000	0.727273	0.642480	12	6	3	0.380952	0.533333	0.444444	0.801661	8	13	7	0.227273	0.333333	0.270270	0.965327	5	17	10
2026-05-31_183612_1547137	ScanNet	scene0482_01	objects-only	15	30	0.747672	0.855028	0.928571	0.866667	0.896552	0.823573	13	1	2	0.916667	0.733333	0.814815	0.902707	11	1	4	0.818182	0.600000	0.692308	0.958415	9	2	6
2026-05-31_183612_1547137	ScanNet	scene0485_00	objects-only	9	17	0.528518	0.465296	0.545455	0.666667	0.600000	0.751954	6	5	3	0.454545	0.555556	0.500000	0.821156	5	6	4	0.272727	0.333333	0.300000	0.929280	3	8	6
2026-05-31_183612_1547137	ScanNet	scene0488_00	objects-only	17	22	0.556047	0.585109	0.785714	0.647059	0.709677	0.722601	11	3	6	0.642857	0.529412	0.580645	0.786744	9	5	8	0.428571	0.352941	0.387097	0.879439	6	8	11
2026-05-31_183612_1547137	ScanNet	scene0491_00	objects-only	6	16	0.637990	0.416666	0.625000	0.833333	0.714286	0.734094	5	3	1	0.500000	0.666667	0.571429	0.793175	4	4	2	0.333333	0.500000	0.400000	0.880206	3	6	3
2026-05-31_183612_1547137	ScanNet	scene0498_01	objects-only	24	47	0.542176	0.438137	0.566667	0.708333	0.629630	0.710750	17	13	7	0.400000	0.500000	0.444444	0.839557	12	18	12	0.218750	0.291667	0.250000	0.956245	7	25	17
2026-05-31_183612_1547137	ScanNet	scene0511_01	objects-only	16	25	0.524004	0.455098	0.578947	0.687500	0.628571	0.686128	11	8	5	0.526316	0.625000	0.571429	0.709371	10	9	6	0.200000	0.250000	0.222222	0.926709	4	16	12
2026-05-31_183612_1547137	ScanNet	scene0512_00	objects-only	12	42	0.562284	0.247907	0.322581	0.833333	0.465116	0.639031	10	21	2	0.205882	0.583333	0.304348	0.766462	7	27	5	0.083333	0.250000	0.125000	0.910624	3	33	9
2026-05-31_183612_1547137	ScanNet	scene0526_00	objects-only	4	21	0.701605	0.502035	0.571429	1.000000	0.727273	0.701605	4	3	0	0.428571	0.750000	0.545455	0.779530	3	4	1	0.285714	0.500000	0.363636	0.874166	2	5	2
2026-05-31_183612_1547137	ScanNet	scene0526_01	objects-only	4	12	0.840739	0.698074	0.800000	1.000000	0.888889	0.840739	4	1	0	0.800000	1.000000	0.888889	0.840739	4	1	0	0.600000	0.750000	0.666667	0.886699	3	2	1
2026-05-31_183612_1547137	ScanNet	scene0528_00	objects-only	11	18	0.357567	0.320912	0.636364	0.636364	0.636364	0.464190	7	4	4	0.111111	0.090909	0.100000	0.936416	1	8	10	0.083333	0.090909	0.086957	0.936416	1	11	10
2026-05-31_183612_1547137	ScanNet	scene0528_01	objects-only	9	18	0.743315	0.674240	0.800000	0.888889	0.842105	0.794782	8	2	1	0.700000	0.777778	0.736842	0.841406	7	3	2	0.454545	0.555556	0.500000	0.933020	5	6	4
2026-05-31_183612_1547137	ScanNet	scene0532_00	objects-only	18	29	0.325965	0.652929	1.000000	0.444444	0.615385	0.603714	8	0	10	1.000000	0.388889	0.560000	0.652929	7	0	11	0.142857	0.055556	0.080000	1.000000	1	6	17
2026-05-31_183612_1547137	ScanNet	scene0532_01	objects-only	12	19	0.635093	0.583830	0.769231	0.833333	0.800000	0.727085	10	3	2	0.538462	0.583333	0.560000	0.873312	7	6	5	0.461538	0.500000	0.480000	0.920598	6	7	6
2026-05-31_183612_1547137	ScanNet	scene0543_00	objects-only	5	26	0.970681	0.655966	0.833333	1.000000	0.909091	0.970681	5	1	0	0.833333	1.000000	0.909091	0.970681	5	1	0	0.833333	1.000000	0.909091	0.970681	5	1	0
2026-05-31_183612_1547137	ScanNet	scene0543_01	objects-only	3	15	0.818131	0.722807	0.750000	1.000000	0.857143	0.818131	3	1	0	0.750000	1.000000	0.857143	0.818131	3	1	0	0.500000	0.666667	0.571429	0.945614	2	2	1
