run_tag	dataset	scan	mode	n_gt	n_pred	gt_coverage	pred_purity	p@0.25	r@0.25	f1@0.25	miou@0.25	tp@0.25	fp@0.25	fn@0.25	p@0.5	r@0.5	f1@0.5	miou@0.5	tp@0.5	fp@0.5	fn@0.5	p@0.75	r@0.75	f1@0.75	miou@0.75	tp@0.75	fp@0.75	fn@0.75
2026-05-29_030346_1140063	3RScan	1713f852-5300-2104-8658-73b77b66af61	all	39	31	0.267141	0.338344	0.516129	0.410256	0.457143	0.533256	16	15	23	0.225806	0.179487	0.200000	0.772520	7	24	32	0.096774	0.076923	0.085714	0.911088	3	28	36
2026-05-29_030346_1140063	3RScan	c9fb7aa5-2a5b-2cf7-902e-42a0339c7242	all	10	14	0.304216	0.236113	0.357143	0.500000	0.416667	0.512119	5	9	5	0.285714	0.400000	0.333333	0.570589	4	10	6	0.000000	0.000000	0.000000	0.000000	0	14	10
2026-05-29_030346_1140063	3RScan	baf67389-8e94-22f8-8055-1d869ecfede9	all	24	25	0.424940	0.419416	0.600000	0.625000	0.612245	0.645112	15	10	9	0.440000	0.458333	0.448980	0.740436	11	14	13	0.160000	0.166667	0.163265	0.931430	4	21	20
2026-05-29_030346_1140063	3RScan	c92fb5b3-f771-2064-86f2-f14da264bfcf	all	26	10	0.193461	0.352413	0.555556	0.192308	0.285714	0.566131	5	4	21	0.300000	0.115385	0.166667	0.700701	3	7	23	0.100000	0.038462	0.055556	0.751629	1	9	25
2026-05-29_030346_1140063	3RScan	c92fb586-f771-2064-8678-a16eca03ac79	all	24	9	0.266224	0.507597	1.000000	0.375000	0.545455	0.507597	9	0	15	0.333333	0.125000	0.181818	0.793691	3	6	21	0.222222	0.083333	0.121212	0.938983	2	7	22
2026-05-29_030346_1140063	3RScan	b8837e28-57ec-29c6-89cf-e1768353440f	all	13	13	0.464150	0.490760	0.615385	0.615385	0.615385	0.689078	8	5	5	0.461538	0.461538	0.461538	0.799012	6	7	7	0.230769	0.230769	0.230769	0.905134	3	10	10
2026-05-29_030346_1140063	3RScan	6a36052d-fa53-2915-9764-30d81b2cc2b5	all	16	10	0.280069	0.411354	0.700000	0.437500	0.538462	0.491071	7	3	9	0.300000	0.187500	0.230769	0.647317	3	7	13	0.100000	0.062500	0.076923	0.767901	1	9	15
2026-05-29_030346_1140063	3RScan	bf9a3db6-45a5-2e80-825a-e599db74ba26	all	31	14	0.316789	0.533385	0.857143	0.387097	0.533333	0.594202	12	2	19	0.642857	0.290323	0.400000	0.659402	9	5	22	0.142857	0.064516	0.088889	0.916830	2	12	29
2026-05-29_030346_1140063	3RScan	4238490c-60a7-271e-9f38-3c651e3b3912	all	20	8	0.171878	0.304865	0.625000	0.250000	0.357143	0.385468	5	3	15	0.125000	0.050000	0.071429	0.563674	1	7	19	0.000000	0.000000	0.000000	0.000000	0	8	20
2026-05-29_030346_1140063	3RScan	8eabc42c-5af7-2f32-87c4-bf646779aa62	all	28	11	0.263032	0.525617	0.900000	0.321429	0.473684	0.607036	9	1	19	0.545455	0.214286	0.307692	0.702043	6	5	22	0.181818	0.071429	0.102564	0.849181	2	9	26
2026-05-29_030346_1140063	3RScan	b1d87fb0-e72e-2c8c-9f01-25dafeddf472	all	22	8	0.191677	0.313394	0.625000	0.227273	0.333333	0.405520	5	3	17	0.125000	0.045455	0.066667	0.549632	1	7	21	0.000000	0.000000	0.000000	0.000000	0	8	22
